race_number,race_name,race_location,race_slug,race_year
8,XVII SUBIDA A LOS MOLINOS DE MOTA DEL CUERVO,Mota del Cuervo,mota-del-cuervo,2025
9,XVI 10K LA PITA - 2025,El Herrumblar,el-herrumblar,2025
10,10K NOCTURNOS VILLA DE SAN CLEMENTE - 2025,San Clemente,san-clemente,2025
11,XX CARRERA POPULAR VILLA DE MINGLANILLA - 2025,Minglanilla,minglanilla,2025
12,,Villanueva de la Jara,villanueva-de-la-jara,2025
13,XX CARRERA POPULAR CESAR CUEVAS - 2025,Alconchel de la Estrella,alconchel-de-la-estrella,2025
14,,Uña,una,2025
15,,Villarta,villarta,2025
16,,Campillo de Altobuey,campillo-de-altobuey,2025
17,,Cardenete,cardenete,2025
18,XL CARRERA POPULAR EL CAÑO,Iniesta,iniesta,2025
19,,Motilla del Palancar,motilla-del-palancar,2025
20,,Sisante,sisante,2025
21,,Villares Del Saz,villares-del-saz,2025
22,,El Peral,el-peral,2025
23,,Olmedilla de Alarcón,olmedilla-de-alarcon,2025
24,,Horcajo de Santiago,horcajo-de-santiago,2025
25,,Honrubia,honrubia,2025
26,,Cuenca (10k + 21k),cuenca,2025
27,,Ledaña,ledana,2025
